y,u_over_U_lid
0.0,0.0
0.003937007874015748,-0.0029512119363062084
0.011811023622047244,-0.00873059150762856
0.01968503937007874,-0.014312700368463993
0.027559055118110236,-0.01971372403204441
0.03543307086614173,-0.02495444379746914
0.04330708661417323,-0.030047453474253416
0.051181102362204724,-0.035003896337002516
0.05905511811023622,-0.03984048031270504
0.06692913385826772,-0.04456907045096159
0.07480314960629922,-0.0491990614682436
0.08267716535433071,-0.0537406001240015
0.09055118110236221,-0.05820391699671745
0.0984251968503937,-0.06260157562792301
0.1062992125984252,-0.06693797651678324
0.1141732283464567,-0.07122292649000883
0.1220472440944882,-0.07546244654804468
0.12992125984251968,-0.07966511882841587
0.1377952755905512,-0.08383472450077534
0.14566929133858267,-0.08797690272331238
0.15354330708661418,-0.09209797717630863
0.16141732283464566,-0.096201216802001
0.16929133858267717,-0.10029121302068233
0.17716535433070865,-0.10436960496008396
0.18503937007874016,-0.10843995958566666
0.19291338582677164,-0.11250493116676807
0.20078740157480315,-0.1165634486824274
0.20866141732283464,-0.12062071822583675
0.21653543307086615,-0.12467117048799992
0.22440944881889763,-0.1287177950143814
0.23228346456692914,-0.1327583659440279
0.24015748031496062,-0.13679198920726776
0.24803149606299213,-0.14081444591283798
0.2559055118110236,-0.1448206789791584
0.2637795275590551,-0.1488038245588541
0.27165354330708663,-0.152762858197093
0.2795275590551181,-0.15668848529458046
0.2874015748031496,-0.1605764590203762
0.2952755905511811,-0.1644190214574337
0.3031496062992126,-0.16820544376969337
0.3110236220472441,-0.17192760482430458
0.3188976377952756,-0.1755756512284279
0.32677165354330706,-0.17913976684212685
0.3346456692913386,-0.18260883167386055
0.3425196850393701,-0.1859697513282299
0.35039370078740156,-0.18921064212918282
0.35826771653543305,-0.19231971353292465
0.3661417322834646,-0.19528042525053024
0.37401574803149606,-0.19808068871498108
0.38188976377952755,-0.20070455968379974
0.38976377952755903,-0.20314030349254608
0.39763779527559057,-0.20537056028842926
0.40551181102362205,-0.20738089457154274
0.41338582677165353,-0.20915688946843147
0.421259842519685,-0.21068310365080833
0.42913385826771655,-0.21194478496909142
0.43700787401574803,-0.2129262126982212
0.4448818897637795,-0.21361522376537323
0.452755905511811,-0.2139989472925663
0.46062992125984253,-0.21406570449471474
0.468503937007874,-0.21379968151450157
0.4763779527559055,-0.2131914533674717
0.484251968503937,-0.21223273128271103
0.4921259842519685,-0.2109159156680107
0.5,-0.20922977477312088
0.5078740157480315,-0.20716886967420578
0.515748031496063,-0.20472705364227295
0.5236220472440944,-0.2018982544541359
0.531496062992126,-0.19867967814207077
0.5393700787401575,-0.19507339224219322
0.547244094488189,-0.19107652828097343
0.5551181102362205,-0.1866891048848629
0.562992125984252,-0.18191302195191383
0.5708661417322834,-0.17675282433629036
0.5787401574803149,-0.17121572047472
0.5866141732283464,-0.16530349850654602
0.594488188976378,-0.1590246520936489
0.6023622047244095,-0.15238838270306587
0.610236220472441,-0.1454057265073061
0.6181102362204725,-0.1380834262818098
0.6259842519685039,-0.13043001294136047
0.6338582677165354,-0.12245628051459789
0.6417322834645669,-0.114173274487257
0.6496062992125984,-0.10558988898992538
0.65748031496063,-0.09671650826931
0.6653543307086615,-0.0875629298388958
0.6732283464566929,-0.07813215255737305
0.6811023622047244,-0.06843471433967352
0.6889763779527559,-0.05847433116286993
0.6968503937007874,-0.04825532902032137
0.7047244094488189,-0.037776646204292774
0.7125984251968503,-0.027035712264478207
0.7204724409448819,-0.01602937118150294
0.7283464566929134,-0.004748304781969637
0.7362204724409449,0.006824216688983142
0.7440944881889764,0.018705332186073065
0.7519685039370079,0.030918410047888756
0.7598425196850394,0.04349369555711746
0.7677165354330708,0.056468560360372066
0.7755905511811023,0.0698863435536623
0.7834645669291339,0.08380024693906307
0.7913385826771654,0.09827134199440479
0.7992125984251969,0.11337099596858025
0.8070866141732284,0.12917807325720787
0.8149606299212598,0.1457845326513052
0.8228346456692913,0.16328923404216766
0.8307086614173228,0.18180366605520248
0.8385826771653543,0.20144714042544365
0.8464566929133859,0.22234763950109482
0.8543307086614174,0.2446417324244976
0.8622047244094488,0.26847125962376595
0.8700787401574803,0.2939770184457302
0.8779527559055118,0.32130099833011627
0.8858267716535433,0.35057779401540756
0.8937007874015748,0.38193710148334503
0.9015748031496063,0.4154858738183975
0.9094488188976378,0.4513111710548401
0.9173228346456693,0.48946578055620193
0.9251968503937008,0.5299650877714157
0.9330708661417323,0.572780966758728
0.9409448818897638,0.6178242340683937
0.9488188976377953,0.6649447977542877
0.9566929133858267,0.7139240205287933
0.9645669291338582,0.7644703239202499
0.9724409448818898,0.8162174373865128
0.9803149606299213,0.868726447224617
0.9881889763779528,0.921495258808136
0.9960629921259843,0.9739508479833603
1.0,1.0
