x,v_over_U_lid
0.0,0.0
0.003937007874015748,0.007265742169693112
0.011811023622047244,0.021378363016992807
0.01968503937007874,0.03473433665931225
0.027559055118110236,0.04734334535896778
0.03543307086614173,0.05922145675867796
0.04330708661417323,0.07038507144898176
0.051181102362204724,0.08085174486041069
0.05905511811023622,0.09064449928700924
0.06692913385826772,0.09978322312235832
0.07480314960629922,0.10828851722180843
0.08267716535433071,0.11618386022746563
0.09055118110236221,0.12349340133368969
0.0984251968503937,0.13023866340517998
0.1062992125984252,0.13644501566886902
0.1141732283464567,0.1421342883259058
0.1220472440944882,0.14733309857547283
0.12992125984251968,0.1520581915974617
0.1377952755905512,0.15633432194590569
0.14566929133858267,0.16018306836485863
0.15354330708661418,0.1636238768696785
0.16141732283464566,0.16667554154992104
0.16929133858267717,0.16935911029577255
0.17716535433070865,0.17169080674648285
0.18503937007874016,0.1736895553767681
0.19291338582677164,0.17536789178848267
0.20078740157480315,0.1767420955002308
0.20866141732283464,0.17782378941774368
0.21653543307086615,0.1786259561777115
0.22440944881889763,0.1791602186858654
0.23228346456692914,0.1794346235692501
0.24015748031496062,0.17945757135748863
0.24803149606299213,0.17923729494214058
0.2559055118110236,0.17878320068120956
0.2637795275590551,0.1780983991920948
0.27165354330708663,0.1771903783082962
0.2795275590551181,0.1760636642575264
0.2874015748031496,0.1747201383113861
0.2952755905511811,0.17316417768597603
0.3031496062992126,0.17139889299869537
0.3110236220472441,0.1694216951727867
0.3188976377952756,0.16723394393920898
0.32677165354330706,0.16484005376696587
0.3346456692913386,0.16223782673478127
0.3425196850393701,0.1594274677336216
0.35039370078740156,0.1564074493944645
0.35826771653543305,0.1531794387847185
0.3661417322834646,0.14973603188991547
0.37401574803149606,0.14608279801905155
0.38188976377952755,0.142215546220541
0.38976377952755903,0.13813244178891182
0.39763779527559057,0.13383246026933193
0.40551181102362205,0.12931128963828087
0.41338582677165353,0.12456844560801983
0.421259842519685,0.11960366740822792
0.42913385826771655,0.1144129317253828
0.43700787401574803,0.10899498127400875
0.4448818897637795,0.10335019789636135
0.452755905511811,0.09747453965246677
0.46062992125984253,0.09136833250522614
0.468503937007874,0.08503399789333344
0.4763779527559055,0.07846897467970848
0.484251968503937,0.07167217321693897
0.4921259842519685,0.06464686244726181
0.5,0.057393359020352364
0.5078740157480315,0.0499122217297554
0.515748031496063,0.0422072596848011
0.5236220472440944,0.03428175812587142
0.531496062992126,0.02613890217617154
0.5393700787401575,0.01778707141056657
0.547244094488189,0.009228797862306237
0.5551181102362205,0.00047131688916124403
0.562992125984252,-0.008475651266053319
0.5708661417322834,-0.017605758039280772
0.5787401574803149,-0.026906433049589396
0.5866141732283464,-0.036366910208016634
0.594488188976378,-0.04597147926688194
0.6023622047244095,-0.05570376757532358
0.610236220472441,-0.06554946303367615
0.6181102362204725,-0.07548782508820295
0.6259842519685039,-0.0854986160993576
0.6338582677165354,-0.09555896744132042
0.6417322834645669,-0.10564163327217102
0.6496062992125984,-0.11571891605854034
0.65748031496063,-0.1257647667080164
0.6653543307086615,-0.1357430685311556
0.6732283464566929,-0.1456208061426878
0.6811023622047244,-0.1553611271083355
0.6889763779527559,-0.16492199152708054
0.6968503937007874,-0.1742599532008171
0.7047244094488189,-0.18333181738853455
0.7125984251968503,-0.19209008663892746
0.7204724409448819,-0.2004840038716793
0.7283464566929134,-0.20846523344516754
0.7362204724409449,-0.21597888320684433
0.7440944881889764,-0.22297032177448273
0.7519685039370079,-0.22938372567296028
0.7598425196850394,-0.2351638861000538
0.7677165354330708,-0.24025654420256615
0.7755905511811023,-0.24460546672344208
0.7834645669291339,-0.2481595240533352
0.7913385826771654,-0.2508660778403282
0.7992125984251969,-0.252679530531168
0.8070866141732284,-0.2535562217235565
0.8149606299212598,-0.25345753878355026
0.8228346456692913,-0.25234781205654144
0.8307086614173228,-0.25020502507686615
0.8385826771653543,-0.2470063790678978
0.8464566929133859,-0.24274250492453575
0.8543307086614174,-0.23741038516163826
0.8622047244094488,-0.2310165949165821
0.8700787401574803,-0.22357627749443054
0.8779527559055118,-0.21511264145374298
0.8858267716535433,-0.20566195249557495
0.8937007874015748,-0.19526608288288116
0.9015748031496063,-0.18398145213723183
0.9094488188976378,-0.1718708500266075
0.9173228346456693,-0.1590016484260559
0.9251968503937008,-0.14545124024152756
0.9330708661417323,-0.13130261562764645
0.9409448818897638,-0.11664433404803276
0.9488188976377953,-0.10156979784369469
0.9566929133858267,-0.08617416955530643
0.9645669291338582,-0.07055272813886404
0.9724409448818898,-0.0548052741214633
0.9803149606299213,-0.039021498523652554
0.9881889763779528,-0.023303036577999592
0.9960629921259843,-0.007730686338618398
1.0,0.0
