x,v_over_U_lid
0.0,0.0
0.007936507936507936,0.008301271009258926
0.023809523809523808,0.022408184595406055
0.03968253968253968,0.03317374736070633
0.05555555555555555,0.042527797631919384
0.07142857142857142,0.050810789689421654
0.0873015873015873,0.057797771878540516
0.10317460317460317,0.06332756951451302
0.11904761904761904,0.06745656952261925
0.1349206349206349,0.07033402565866709
0.15079365079365079,0.07212843280285597
0.16666666666666666,0.07299062330275774
0.18253968253968253,0.07305928505957127
0.1984126984126984,0.07245504762977362
0.21428571428571427,0.07128380239009857
0.23015873015873015,0.06964097265154123
0.24603174603174602,0.0676089059561491
0.2619047619047619,0.06525345612317324
0.2777777777777778,0.06263018120080233
0.29365079365079366,0.05978485103696585
0.30952380952380953,0.0567514356225729
0.3253968253968254,0.05355559289455414
0.3412698412698413,0.05021847318857908
0.35714285714285715,0.04675444681197405
0.373015873015873,0.043172938749194145
0.3888888888888889,0.03947976976633072
0.40476190476190477,0.035678413696587086
0.42063492063492064,0.03176923608407378
0.4365079365079365,0.02774977358058095
0.4523809523809524,0.023616442922502756
0.46825396825396826,0.019365097396075726
0.48412698412698413,0.014988615876063704
0.5,0.01048046862706542
0.5158730158730159,0.0058331264881417155
0.5317460317460317,0.0010391320392955095
0.5476190476190477,-0.00390762957977131
0.5634920634920635,-0.009011783404275775
0.5793650793650794,-0.014276168076321483
0.5952380952380952,-0.01969889970496297
0.6111111111111112,-0.025272625498473644
0.626984126984127,-0.030984713230282068
0.6428571428571429,-0.0368129787966609
0.6587301587301587,-0.04272326361387968
0.6746031746031746,-0.048672002740204334
0.6904761904761905,-0.054600583389401436
0.7063492063492064,-0.06043164525181055
0.7222222222222222,-0.06607463583350182
0.7380952380952381,-0.07142117712646723
0.753968253968254,-0.07634313311427832
0.7698412698412699,-0.0806987751275301
0.7857142857142857,-0.08433732204139233
0.8015873015873016,-0.08709409274160862
0.8174603174603174,-0.08880499750375748
0.8333333333333334,-0.0893100630491972
0.8492063492063492,-0.08845972828567028
0.8650793650793651,-0.08610991761088371
0.8809523809523809,-0.08214209228754044
0.8968253968253969,-0.07644609082490206
0.9126984126984127,-0.06897734943777323
0.9285714285714286,-0.05979564040899277
0.9444444444444444,-0.049219224601984024
0.9603174603174603,-0.03761108731850982
0.9761904761904762,-0.02484498778358102
0.9920634920634921,-0.009081350290216506
1.0,0.0
